Issue_Size(crores),QIB,HNI,RII,Offer Price,Month,Year,Demand_Gap,log_issue_size,Apply_Label,Nifty_Return_7d
650.0,36.72,38.24,32.55,385,8,2025,4.170000000000002,6.478509642208569,0,-0.4323228495972109
792.0,163.9,57.71,20.28,150,8,2025,143.62,6.675823221634848,1,-0.4323228495972109
4011.6,103.97,34.98,7.73,800,8,2025,96.24,8.297194689246101,0,-0.4323228495972109
1300.0,133.21,72.0,50.87,675,8,2025,82.34,7.170888478512505,1,-0.7547176339735118
254.26,1.3,1.84,2.22,158,8,2025,-0.9200000000000002,5.542282633554545,0,-0.7547176339735118
360.11,117.33,151.48,30.37,199,8,2025,86.96,5.889182621059753,1,-2.5953741732196334
759.6,5.42,1.92,6.4,90,7,2025,-0.9800000000000004,6.634107595494159,0,-1.1673594192147974
460.44,266.21,227.67,46.84,237,7,2025,219.36999999999998,6.13435203465653,1,-0.9391864110502857
700.0,14.35,8.27,12.9,237,7,2025,1.4499999999999993,6.55250788703459,0,-0.9391864110502857
3395.0,182.65,42.36,5.64,570,7,2025,177.01000000000002,8.130353547431238,1,-1.0433767415032436
582.56,24.41,22.78,3.53,407,7,2025,20.88,6.369147274203694,0,-1.6105427808796202
2000.0,7.7,1.58,0.69,1100,7,2025,7.01,7.601402334583733,0,-1.2713882145350741
860.0,134.35,76.15,10.24,245,7,2025,124.11,6.7580945044277305,1,-0.1604855209407341
200.0,33.26,48.39,14.78,111,7,2025,18.479999999999997,5.303304908059076,0,1.4412479361807229
12500.0,55.47,9.99,1.41,740,7,2025,54.06,9.433563920090563,1,1.9281672298387287
540.0,62.32,31.82,7.99,82,7,2025,54.33,6.293419278846481,1,1.9281672298387287
119.0,99.76,143.15,53.72,71,7,2025,46.040000000000006,4.787491742782046,1,1.7099137635018913
1590.0,3.12,1.31,1.29,414,7,2025,1.83,7.372118028337787,0,1.7099137635018913
852.53,64.23,15.21,2.14,400,7,2025,62.09,6.749380691001656,1,1.7099137635018913
499.6,1.42,3.14,5.59,222,6,2025,-4.17,6.215807378997674,0,1.1955584951796938
1387.34,88.08,36.7,3.6,614,6,2025,84.48,7.235864067842073,0,-0.11534759221611957
220.0,69.51,113.03,19.4,140,6,2025,50.11000000000001,5.3981627015177525,0,-1.5237345719013362
168.0,104.49,222.14,39.49,105,6,2025,65.0,5.1298987149230735,1,-1.249943712335888
2800.0,3.3,0.56,0.77,235,6,2025,2.53,7.937731775260109,0,0.43438316606305705
3500.0,7.46,1.02,0.83,435,6,2025,6.63,8.160803920954665,0,0.43438316606305705
2150.0,108.35,38.33,4.27,90,5,2025,104.08,7.67368812926773,0,-0.7736882118560273
144.89,87.21,237.42,200.53,216,5,2025,-113.32000000000001,4.982852913083804,1,-0.7737933814608411
2980.8,1.7,0.66,1.78,321,5,2025,-0.08000000000000007,8.0002824239943,0,0.5481174547759871
858.7,1.03,1.45,1.83,425,2,2025,-0.8,6.756583491180399,0,-2.075647911729206
8750.0,9.09,0.2,0.11,708,2,2025,8.98,9.076923258535832,0,-1.9190270394079056
1268.88,14.41,6.46,1.92,629,2,2025,12.49,7.146677686799371,0,-2.7277891487031525
3027.26,4.64,0.4,0.41,402,2,2025,4.2299999999999995,8.015743476128725,0,3.986568022911352
220.5,236.94,507.27,90.56,294,1,2025,146.38,5.40042258948519,1,-0.7781209506420028
199.45,172.93,422.42,96.89,90,1,2025,76.04,5.300564839088516,1,0.12641855336588126
698.06,110.38,147.95,76.24,428,1,2025,34.14,6.549736575459905,1,-0.77253310097124
1578.0,0.58,4.24,0.0,99,1,2025,0.58,7.364547014255642,0,-2.0505341774109787
290.0,132.54,254.71,246.94,290,1,2025,-114.4,5.673323267171493,1,-3.4522301575729775
410.05,331.6,268.5,64.99,140,1,2025,266.61,6.018714861598142,1,-4.5587544326259
